Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIHIHO,P-193008,a1e4J000000CKGYQA4,a0i4J0000023ScLQAU,NONE,5/7/2020,Nokia Compact,,11/20/2020,,11/20/2020,5/10/2021,,7.0 COMPLETED (10GB),BTWD209570
PX71-SG-CKIIGLQ,P-193010,a1e4J000000CKGaQAO,a0i4J0000023ScNQAU,NONE,9/13/2019,Nokia Compact,,11/5/2019,,10/16/2020,6/7/2019,,7.0 COMPLETED (10GB),BTWD207978
PX71-SG-CKIJGKJ,P-193011,a1e4J000000CKGbQAO,a0i4J0000023ScOQAU,NONE,4/9/2019,Nokia Compact,,8/25/2019,,8/25/2019,6/7/2019,,7.0 COMPLETED (10GB),BTWD206585
PX71-SG-CKIIGLJ,P-193012,a1e4J000000CKGcQAO,a0i4J0000023ScPQAU,,9/13/2019,Huawei,,1/28/2020,,1/28/2020,6/7/2019,,7.0 COMPLETED (10GB),BTWD207974
PX71-SG-CKIJJLK,P-193013,a1e4J000000CKGdQAO,a0i4J0000023ScQQAU,,1/27/2020,Huawei,12/11/2019,3/20/2020,,3/20/2020,6/7/2019,,7.0 COMPLETED (10GB),BTWD208822
PX71-SG-CKIJIIH,P-193014,a1e4J000000CKGeQAO,a0i4J0000023ScRQAU,NONE,2/12/2019,Nokia Compact,,8/25/2019,,8/25/2019,5/24/2019,,7.0 COMPLETED (10GB),BTWD206353
,P-192985,a1e4J000000CKGfQAO,a0i4J0000023SboQAE,,10/11/2019,,,,,,,,,BTWD208343
PX71-SG-CKIHOJN,P-192986,a1e4J000000CKGgQAO,a0i4J0000023SbpQAE,NONE,10/11/2019,Nokia Compact,,12/10/2019,,1/18/2021,2/28/2020,,7.0 COMPLETED (10GB),BTWD208363
PX71-SG-CKIHLML,P-192987,a1e4J000000CKGhQAO,a0i4J0000023SbqQAE,WTG SITE SPECIFIC INDUCTION COURSE,10/23/2019,Huawei,,3/4/2020,,3/4/2020,9/13/2019,,7.0 COMPLETED (10GB),BTWD208494
PX71-SG-CKIHLMK,P-192988,a1e4J000000CKGiQAO,a0i4J0000023SbrQAE,,10/8/2019,Nokia Compact,,2/7/2020,,1/15/2021,2/26/2020,,7.0 COMPLETED (10GB),BTWD208277
PX71-SG-CKIHLIN,P-192989,a1e4J000000CKGjQAO,a0i4J0000023SbsQAE,NONE,10/8/2019,Huawei,,6/16/2020,,6/16/2020,2/26/2020,,7.0 COMPLETED (10GB),BTWD208269
PX71-SG-CKIHLIK,P-192990,a1e4J000000CKGkQAO,a0i4J0000023SbtQAE,NONE,9/27/2019,Nokia Compact,,11/9/2020,,1/18/2021,9/13/2019,,7.0 COMPLETED (10GB),BTWD208162
,P-192991,a1e4J000000CKGlQAO,a0i4J0000023SbuQAE,,,,,,,,,,,
PX71-SG-CKIGJHI,P-192992,a1e4J000000CKGmQAO,a0i4J0000023SbvQAE,NONE,4/22/2021,Nokia,,11/17/2021,,11/17/2021,9/13/2019,,7.0 COMPLETED (10GB),BTWD211516
PX71-SG-CKIHOJK,P-192993,a1e4J000000CKGnQAO,a0i4J0000023SbwQAE,,10/15/2019,Huawei,,3/3/2020,,11/16/2020,2/28/2020,,7.0 COMPLETED (10GB),BTWD208352
